word,phones,n_phonemes,n_sibilants,sibilant_density,log_freq
dwell,D W EH L,4,0,0.0,2.155336037465062
dwelling,D W EH L IH NG,6,0,0.0,1.8388490907372552
dye,D AY,2,0,0.0,2.296665190261531
dynasty,D AY N AH S T IY,7,1,0.14285714285714285,2.1172712956557644
earl,ER L,2,0,0.0,3.018284308426531
earpiece,IH R P IY S,5,1,0.2,1.4471580313422192
earrings,IH R IH NG Z,5,1,0.2,2.496929648073215
eastern,IY S T ER N,5,1,0.2,2.6180480967120925
eater,IY T ER,3,0,0.0,1.9084850188786497
echinacea,EH CH AH N EY S IY AH,8,2,0.25,1.1139433523068367
echo,EH K OW,3,0,0.0,2.545307116465824
economic,EH K AH N AA M IH K,8,0,0.0,2.404833716619938
economics,EH K AH N AA M IH K S,9,1,0.1111111111111111,2.103803720955957
edgy,EH JH IY,3,1,0.3333333333333333,2.0681858617461617
edifice,EH D AH F AH S,6,1,0.16666666666666666,1.3424226808222062
edit,EH D AH T,4,0,0.0,1.8920946026904804
edition,AH D IH SH AH N,6,1,0.16666666666666666,2.3979400086720375
editor,EH D AH T ER,5,0,0.0,2.802089257881733
editorial,EH D AH T AO R IY AH L,9,0,0.0,2.0492180226701815
effect,IH F EH K T,5,0,0.0,3.0863598306747484
eggshell,EH G SH EH L,5,1,0.2,1.380211241711606
eight,EY T,2,0,0.0,3.699924402742477
eighty,EY T IY,3,0,0.0,2.113943352306837
elbow,EH L B OW,4,0,0.0,2.496929648073215
elderly,EH L D ER L IY,6,0,0.0,2.322219294733919
election,IH L EH K SH AH N,7,1,0.14285714285714285,2.7489628612561616
elective,IH L EH K T IH V,7,0,0.0,1.724275869600789
electrician,IH L EH K T R IH SH AH N,10,1,0.1,1.8864907251724818
electron,IH L EH K T R AA N,8,0,0.0,1.5797835966168101
elemental,EH L AH M EH N T AH L,9,0,0.0,1.5440680443502757
eleven,IH L EH V AH N,6,0,0.0,2.821513528404773
elude,IH L UW D,4,0,0.0,1.3424226808222062
embankment,EH M B AE NG K M AH N T,10,0,0.0,1.3979400086720377
embassy,EH M B AH S IY,6,1,0.16666666666666666,2.5998830720736876
emcee,EH M S IY,4,1,0.25,1.4313637641589874
emery,EH M ER IY,4,0,0.0,1.9912260756924949
emissary,EH M AH S EH R IY,7,1,0.14285714285714285,1.7160033436347992
emit,IH M IH T,4,0,0.0,1.3222192947339193
emperor,EH M P ER ER,5,0,0.0,2.8394780473741985
emphasis,EH M F AH S AH S,7,2,0.2857142857142857,1.8195439355418688
empirical,EH M P IH R IH K AH L,9,0,0.0,1.380211241711606
employer,EH M P L OY ER,6,0,0.0,2.439332693830263
emporium,EH M P AO R IY AH M,8,0,0.0,1.6532125137753437
empress,EH M P R EH S,6,1,0.16666666666666666,2.1702617153949575
emu,IY M Y UW,4,0,0.0,1.3617278360175928
emulate,EH M Y AH L EY T,7,0,0.0,1.462397997898956
enable,EH N EY B AH L,6,0,0.0,1.8808135922807914
